grade	courseName	topic	clusterKey	clusterLabel	primaryBenchmark	CCSS	MN07	MN22	TEKS	dokLevel	problemIndex	stem	answer	hint
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	1	Count the apples: 🍎 🍎 🍎. How many apples are there?	3	Point to each apple and count: 1, 2, 3.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	2	How many stars do you see? ⭐ ⭐ ⭐ ⭐ ⭐	5	Start at the first star and count each one.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	3	Count the blocks: 🟫 🟫. How many blocks?	2	Count from left to right.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	4	Kenji has 4 toy fish: 🐟 🐟 🐟 🐟. Count them. How many fish does Kenji have?	4	Point to each fish and say the number.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	5	Look at these circles: 🔵 🔵 🔵 🔵 🔵 🔵. Count all the circles.	6	Touch each circle as you count: 1, 2, 3, 4, 5, 6.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	6	Sofia has 7 pencils in a cup. Count and tell how many pencils.	7	Take out each pencil and count it.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	7	Draw or show 5 objects (like dots or circles). Count them to make sure you have 5.	5	Draw dots or use blocks. Count carefully.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	8	Make a tally mark for each of these flowers: 🌸 🌸 🌸 🌸. How many marks do you have?	4	Make one mark for each flower: | | | |
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	9	Draw a ten-frame and put 8 counters in the boxes. Count the empty boxes.	2	Fill boxes from left to right. Count how many are empty.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK1	10	How many dots? Show with a number: • • • (3 dots shown)	3	Count the dots and write or say the number.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	1	You have 4 crayons. Your friend gives you 1 more crayon. Count all your crayons now. How many do you have?	5	Start with 4 and count on: 4, 5.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	2	There are 3 red balls 🔴 and 2 blue balls 🔵. Count all the balls together. How many balls are there?	5	Count the red balls first, then the blue balls too.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	3	Amir has some blocks. He takes out 2 blocks from a bag, then 3 more blocks. Count all the blocks. How many does Amir have?	5	Count the first group, then add the second group.
